Week,Phase,Belt_Target,Focus,Running_Qualities,MBS_Primary,Strength_Theme,Plyo_Contacts_Cap,Testing_Gateway,Notes
1,GPP-1 (Base),White→Blue,Aerobic base + accel skill,Accel (starts),High–Low Drop Step,Hypertrophy/Anatomical Adaptation,200,"TH Symmetry, ADR (10m)","Low CNS, teach patterns"
2,GPP-1 (Base),White→Blue,Aerobic base + accel skill,Accel (starts),High–Low Drop Step,Hypertrophy/Anatomical Adaptation,200,"TH Symmetry, ADR (10m)","Low CNS, teach patterns"
3,GPP-1 (Base),White→Blue,Aerobic base + accel skill,Accel (starts),High–Low Drop Step,Hypertrophy/Anatomical Adaptation,200,"TH Symmetry, ADR (10m)","Low CNS, teach patterns"
4,GPP-1 (Base),White→Blue,Stride economy + MBS intro,Accel (starts),Lateral Pole Vaulters,Hypertrophy → Basic Strength,220,TH Symmetry,Add unilateral volume
5,GPP-1 (Base),White→Blue,Stride economy + MBS intro,Accel (starts),Lateral Pole Vaulters,Hypertrophy → Basic Strength,220,TH Symmetry,Add unilateral volume
6,GPP-1 (Base),White→Blue,Stride economy + MBS intro,Accel (starts),Lateral Pole Vaulters,Hypertrophy → Basic Strength,220,TH Symmetry,Add unilateral volume
7,GPP-1 (Base),White→Blue,Foundational strength,Accel + Decel intro,Cross-over March,Basic Strength,240,TH Symmetry,Introduce tempo work
8,GPP-1 (Base),White→Blue,Foundational strength,Accel + Decel intro,Cross-over March,Basic Strength,240,TH Symmetry,Introduce tempo work
9,GPP-1 (Base),White→Blue,Foundational strength,Accel + Decel intro,Cross-over March,Basic Strength,240,TH Symmetry,Introduce tempo work
10,GPP-1 (Base),White→Blue,Introduce COD shapes,COD (stepping),High–Low Drop Step,Basic Strength,240,TH Symmetry,Short ground contacts
11,GPP-1 (Base),White→Blue,Introduce COD shapes,COD (stepping),High–Low Drop Step,Basic Strength,240,TH Symmetry,Short ground contacts
12,GPP-1 (Base),White→Blue,Introduce COD shapes,COD (stepping),High–Low Drop Step,Basic Strength,240,TH Symmetry,Short ground contacts
13,SPP-1 (Build),Blue,Reactive skill + MAS,Accel + COD,Lateral Pole Vaulters,Max Strength (accumulation),260,TH Symmetry + RSI,Contrast with jumps
14,SPP-1 (Build),Blue,Reactive skill + MAS,Accel + COD,Lateral Pole Vaulters,Max Strength (accumulation),260,TH Symmetry + RSI,Contrast with jumps
15,SPP-1 (Build),Blue,Reactive skill + MAS,Accel + COD,Lateral Pole Vaulters,Max Strength (accumulation),260,TH Symmetry + RSI,Contrast with jumps
16,SPP-1 (Build),Blue,Vmax exposure (submax),Vmax (stepping),Short-contact hops,Max Strength (intensification),280,TH Symmetry + Flying20,Guardrails on hamstrings
17,SPP-1 (Build),Blue,Vmax exposure (submax),Vmax (stepping),Short-contact hops,Max Strength (intensification),280,TH Symmetry + Flying20,Guardrails on hamstrings
18,SPP-1 (Build),Blue,Vmax exposure (submax),Vmax (stepping),Short-contact hops,Max Strength (intensification),280,TH Symmetry + Flying20,Guardrails on hamstrings
19,SPP-1 (Build),Blue,Decel quality,Decel (stopping),Cross-over March,Unilateral Strength,260,Decel drill pass,Add braking drills
20,SPP-1 (Build),Blue,Decel quality,Decel (stopping),Cross-over March,Unilateral Strength,260,Decel drill pass,Add braking drills
21,SPP-1 (Build),Blue,Decel quality,Decel (stopping),Cross-over March,Unilateral Strength,260,Decel drill pass,Add braking drills
22,SPP-1 (Build),Blue,Blend blocks,Blend A/D/COD,High–Low Drop Step,Mixed Max/Speed,260,TH Symmetry,Manage fatigue
23,SPP-1 (Build),Blue,Blend blocks,Blend A/D/COD,High–Low Drop Step,Mixed Max/Speed,260,TH Symmetry,Manage fatigue
24,SPP-1 (Build),Blue,Blend blocks,Blend A/D/COD,High–Low Drop Step,Mixed Max/Speed,260,TH Symmetry,Manage fatigue
25,SPP-2 (Specific),Blue→Black−,Speed + COD integration,Vmax + COD,Vmax + Stepping/Swerving,Max Strength → Power,280,Flying20 + COD test,High-low structure
26,SPP-2 (Specific),Blue→Black−,Speed + COD integration,Vmax + COD,Vmax + Stepping/Swerving,Max Strength → Power,280,Flying20 + COD test,High-low structure
27,SPP-2 (Specific),Blue→Black−,Speed + COD integration,Vmax + COD,Vmax + Stepping/Swerving,Max Strength → Power,280,Flying20 + COD test,High-low structure
28,SPP-2 (Specific),Blue→Black−,Elastic emphasis,Plyo short-contact,Short-contact hops,Power (unilateral),300,RSI + TH Sym,Contacts quality
29,SPP-2 (Specific),Blue→Black−,Elastic emphasis,Plyo short-contact,Short-contact hops,Power (unilateral),300,RSI + TH Sym,Contacts quality
30,SPP-2 (Specific),Blue→Black−,Elastic emphasis,Plyo short-contact,Short-contact hops,Power (unilateral),300,RSI + TH Sym,Contacts quality
31,SPP-2 (Specific),Blue→Black−,Race-pace MAS,Running MAS,Lateral Pole Vaulters,Power → Strength maintain,260,MAS Shuttle,Cap plyo day after long run
32,SPP-2 (Specific),Blue→Black−,Race-pace MAS,Running MAS,Lateral Pole Vaulters,Power → Strength maintain,260,MAS Shuttle,Cap plyo day after long run
33,SPP-2 (Specific),Blue→Black−,Race-pace MAS,Running MAS,Lateral Pole Vaulters,Power → Strength maintain,260,MAS Shuttle,Cap plyo day after long run
34,SPP-2 (Specific),Blue→Black−,Taper/in-season intro,Speed maintain,High–Low Drop Step,Strength maintain,220,Gateway check,Keep exposures
35,SPP-2 (Specific),Blue→Black−,Taper/in-season intro,Speed maintain,High–Low Drop Step,Strength maintain,220,Gateway check,Keep exposures
36,Cyclical In-Season / Performance,Black−→Black,Maintain + micro-PRs,Vmax top-ups,Vmax + Stepping/Swerving,Power maintain,220,Flying20,Micro doses
37,Cyclical In-Season / Performance,Black−→Black,Maintain + micro-PRs,Vmax top-ups,Vmax + Stepping/Swerving,Power maintain,220,Flying20,Micro doses
38,Cyclical In-Season / Performance,Black−→Black,Maintain + micro-PRs,Vmax top-ups,Vmax + Stepping/Swerving,Power maintain,220,Flying20,Micro doses
39,Cyclical In-Season / Performance,Black−→Black,Asym fix + decel,Decel + COD,Cross-over March,Unilateral top-ups,200,TH Sym ≥93%,Left/right swaps
40,Cyclical In-Season / Performance,Black−→Black,Asym fix + decel,Decel + COD,Cross-over March,Unilateral top-ups,200,TH Sym ≥93%,Left/right swaps
41,Cyclical In-Season / Performance,Black−→Black,Asym fix + decel,Decel + COD,Cross-over March,Unilateral top-ups,200,TH Sym ≥93%,Left/right swaps
42,Cyclical In-Season / Performance,Black−→Black,Block repeat (event),Blend,Short-contact hops,Contrast lite,200,Gateway pack,Load management
43,Cyclical In-Season / Performance,Black−→Black,Block repeat (event),Blend,Short-contact hops,Contrast lite,200,Gateway pack,Load management
44,Cyclical In-Season / Performance,Black−→Black,Block repeat (event),Blend,Short-contact hops,Contrast lite,200,Gateway pack,Load management
45,Cyclical In-Season / Performance,Black−→Black,Deload,Recovery + skill,MBS mix,Maintain,160,Health screen,Restore freshness
46,Cyclical In-Season / Performance,Black−→Black,Deload,Recovery + skill,MBS mix,Maintain,160,Health screen,Restore freshness
47,Performance (Maintain),Black,Maintain exposures,Speed + COD top-ups,High–Low Drop Step,Power maintain,180,"Gateway pack (TH, RSI, Flying20)",Prioritise freshness
48,Performance (Maintain),Black,Maintain exposures,Speed + COD top-ups,High–Low Drop Step,Power maintain,180,"Gateway pack (TH, RSI, Flying20)",Prioritise freshness
49,Performance (Maintain),Black,Maintain exposures,Speed + COD top-ups,High–Low Drop Step,Power maintain,180,"Gateway pack (TH, RSI, Flying20)",Prioritise freshness
50,Performance (Maintain),Black,Maintain exposures,Speed + COD top-ups,High–Low Drop Step,Power maintain,180,"Gateway pack (TH, RSI, Flying20)",Prioritise freshness
51,Performance (Maintain),Black,Maintain exposures,Speed + COD top-ups,High–Low Drop Step,Power maintain,180,"Gateway pack (TH, RSI, Flying20)",Prioritise freshness
52,Performance (Maintain),Black,Maintain exposures,Speed + COD top-ups,High–Low Drop Step,Power maintain,180,"Gateway pack (TH, RSI, Flying20)",Prioritise freshness
